anime_id,name,genre,type,episode,rating,members,status,date
,Mars Red: Zero Kikan Nippou,Comedy,ONA,,,239,Airing,12/14/2020
,Onegai Patron-sama!,Slice of Life,ONA,,,229,Airing,12/14/2020
,Attack Zero x Evangelion,"Music, Slice of Life",ONA,1,,226,Airing,12/14/2020
,Wo Wei Ge Kuang: Xuanlu Chongqi,"Music, School",ONA,12,,219,Airing,12/14/2020
,Han Hua Ri Ji 2nd Season,"Slice of Life, Comedy, Supernatural",ONA,,,211,Airing,12/14/2020
,Tunshi Xingkong,Sci-Fi,ONA,26,,211,Airing,12/14/2020
,Jue Shi Wu Hun,"Action, Fantasy, Martial Arts",ONA,60,,204,Airing,12/14/2020
,Tian Huang Zhan Shen,"Action, Fantasy, Historical, Martial Arts",ONA,80,,142,Airing,12/14/2020
,Juunenbun no Watashi e,Drama,ONA,1,,140,Airing,12/14/2020
,Onegai Patron-sama! Episode 0,Slice of Life,ONA,1,,135,Airing,12/14/2020
,Zhan Shuang Panini,"Action, Comedy",ONA,12,,124,Airing,12/14/2020
,Kaoru no Taisetsu na Mono,Comedy,TV,,,116,Airing,12/14/2020
,Jian Wang 3: Xia Gan Yi Dan Shen Jianxin Zhi Chang Piao,"Comedy, Historical",ONA,,,110,Airing,12/14/2020
,Su Shen Xiao Ren,"Slice of Life, Comedy",ONA,12,,80,Airing,12/14/2020
,Menghuan Shuyuan 4th Season,"Comedy, Fantasy",ONA,14,,59,Airing,12/14/2020
,Fei Zhi Baike,Comedy,ONA,12,,58,Airing,12/14/2020
,Xing Hai Qi Shi,"Action, Fantasy, Sci-Fi",ONA,14,,35,Airing,12/14/2020
